,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apogee:,"3410m (11,188ft)"
2,2027.8571,32.94276,-106.91479,1408,42.490002,-0.26146558,-0.27332792,8.1077642,41.392723,3.7309999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max velocity:,262m/s (943.2 km/h)
2,2027.908,32.94276,-106.91479,1408,88.529999,-0.17598717,0.10942302,10.148582,86.668594,3.756,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max accel,120m/s^2 (12.2g)
2,2027.954,32.94276,-106.91479,1408,105.99,3.2210903,1.319432,15.615576,105.22701,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028,32.94276,-106.91479,1408,103,3.8186479,2.604219,21.51329,103.08794,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.045,32.94276,-106.91479,1408,103.75,5.7136555,4.2546301,27.487129,103.72385,3.7460001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.0909,32.94276,-106.91479,1408,109.05,5.2357206,5.5147333,32.012974,108.83968,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.137,32.94276,-106.91479,1408,109.17,9.2656479,7.7366529,38.370972,109.15695,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.182,32.94276,-106.91479,1408,106.77,6.567452,8.6959801,41.508469,106.86426,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.228,32.94276,-106.91479,1408,110.59,8.2923651,10.014709,45.086384,110.44287,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.274,32.94276,-106.91479,1408,112.1,8.2923651,11.081911,48.137379,112.03456,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.319,32.94276,-106.91479,1407.7,111.55,9.6068716,12.29911,51.359898,111.56914,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.365,32.94276,-106.91479,1407.7,112.45,11.246212,13.792052,54.886944,112.41521,3.7609999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.411,32.94276,-106.91479,1407.7,113.15,12.237391,15.276832,58.263527,113.12099,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.4561,32.94276,-106.91479,1407.7,113.61,14.286494,16.999147,61.857544,113.59069,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.502,32.94276,-106.91479,1407.7,114.48,15.926571,18.877935,65.5466,114.44489,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.548,32.94276,-106.91479,1407.7,115.26,17.738157,20.875248,69.264732,115.22781,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.593,32.94276,-106.91479,1407.7,115.63,20.028648,23.034678,73.04837,115.61411,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.639,32.94276,-106.91479,1407.7,116.37,22.490974,25.466192,77.042122,116.34016,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.6851,32.94276,-106.91479,1407.7,117.22,24.132343,27.837986,80.813164,117.18526,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.731,32.94276,-106.91479,1407.7,118.08,28.408579,30.838375,85.208344,118.04467,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.776,32.94276,-106.91479,1407.7,118.31,30.871878,33.792637,89.371582,118.29952,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.822,32.94276,-106.91479,1407.7,118.56,32.515072,36.630806,93.245941,118.54971,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.868,32.94276,-106.91479,1407.7,119.09,37.274136,40.094227,97.657761,119.06866,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.913,32.94276,-106.91479,1407.7,119.8,39.088936,43.225723,101.53758,119.77113,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.959,32.94276,-106.91479,1407.7,119.71,44.107018,47.045444,106.02102,119.71241,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.005,32.94276,-106.91479,1407.7,120.21,47.482712,50.913197,110.35766,120.19035,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.05,32.94276,-106.91479,1407.7,120.34,51.425941,54.868523,114.62154,120.33408,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.0959,32.94276,-106.91479,1407.7,120.21,55.12904,58.999714,118.89201,120.2149,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.142,32.94276,-106.91479,1407.7,120.3,58.834969,63.177433,123.02673,120.29664,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.188,32.94276,-106.91479,1407.7,120.22,62.953491,67.487549,127.12595,120.22303,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.233,32.94276,-106.91479,1407.7,119.75,66.33429,71.617867,130.89632,119.76868,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.2791,32.94276,-106.91479,1407.7,119.5,72.019165,76.361794,135.07407,119.51061,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.325,32.94276,-106.91479,1407.3,118.98,77.963486,81.545883,139.48476,119.00095,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.37,32.94276,-106.91479,1407.3,118.58,82.416489,86.599052,143.59111,118.59663,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.416,32.94276,-106.91479,1407.3,118.17,87.782578,91.982063,147.8031,118.18684,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.4611,32.94276,-106.91479,1407.3,117.35,91.827354,97.074455,151.58763,117.38304,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.507,32.94276,-106.91479,1407.3,117.01,96.869934,102.40331,155.38025,117.02473,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.553,32.94276,-106.91479,1407.3,116.78,101.91547,107.79681,159.06586,116.78967,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.599,32.94276,-106.91479,1407.3,116.2,106.05058,113.01574,162.43916,116.22328,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.644,32.94276,-106.91479,1407.3,115.21,111.01468,118.16782,165.63779,115.25002,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.6899,32.94276,-106.91479,1407.3,114.76,116.72354,123.69321,168.96838,114.77935,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.736,32.94276,-106.91479,1407.3,114.42,122.69247,129.44238,172.3472,114.43419,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.781,32.94276,-106.91479,1407.3,113.04,129.89586,135.52832,175.92293,113.09505,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.827,32.94276,-106.91479,1407.3,112.41,136.28552,141.94624,179.54837,112.43706,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.873,32.94276,-106.91479,1407.3,111.53,142.50937,148.44394,183.07108,111.56582,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.918,32.94276,-106.91479,1407.3,110.64,149.15112,154.95868,186.49004,110.67656,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2029.964,32.94276,-106.91479,1407.3,109.4,156.38464,161.90771,190.05899,109.45041,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.01,32.94276,-106.91479,1407.3,108.33,160.87088,168.3889,193.02586,108.37424,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.056,32.94276,-106.91479,1407.3,107.73,167.5249,175.01471,195.9554,107.75545,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.101,32.94276,-106.91479,1407.3,106.54,173.35081,181.40137,198.60947,106.588,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.147,32.94276,-106.91479,1407.3,105.66,179.5959,187.99825,201.22287,105.69665,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.193,32.94276,-106.91479,1407.3,104.32,185.01143,194.40219,203.52707,104.37436,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.238,32.94276,-106.91479,1407.3,103.46,193.43379,201.21483,206.11804,103.49611,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.2841,32.94276,-106.91479,1407.3,101.66,204.94623,209.4014,209.6701,101.73251,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.33,32.942764,-106.91479,1406.8,101.2,213.29961,217.75058,213.14458,101.22102,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.375,32.942764,-106.91479,1406.8,99.970001,221.57343,226.03894,216.49585,100.0194,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.421,32.942764,-106.91479,1406.8,98.730003,227.51407,234.0464,219.33508,98.780922,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.467,32.942764,-106.91479,1406.8,97.540001,234.3802,241.8783,221.85643,97.589005,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.5129,32.942764,-106.91479,1406.8,96.980003,240.24226,249.32518,223.89703,97.004051,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.558,32.942764,-106.91479,1406.8,95.970001,248.2039,256.79596,225.95795,96.010834,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.604,32.942764,-106.91479,1406.8,95.010002,256.17221,264.62988,228.10355,95.049522,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.65,32.942764,-106.91479,1406.8,94.029999,267.0849,273.27457,230.81232,94.070259,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.6949,32.942764,-106.91479,1406.8,92.830002,278.09378,282.40204,233.89244,92.878975,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.741,32.942764,-106.91479,1406.8,90.199997,286.5043,291.64301,236.78517,90.305786,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.787,32.942764,-106.91479,1406.8,78.82,297.87024,301.49091,239.94873,79.27356,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.832,32.942764,-106.91479,1406.8,58.720001,306.80334,311.03757,242.35085,59.531643,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.8781,32.942764,-106.91479,1406.8,36.509998,313.80106,320.22726,243.33142,37.419102,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.924,32.942764,-106.91479,1406.8,23.85,326.97052,330.38538,244.11504,24.385832,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2030.969,32.942764,-106.91479,1406.8,16.200001,337.95712,340.57315,244.50156,16.523252,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.015,32.942764,-106.91479,1406.8,10.3,349.71573,351.33005,244.81981,10.545751,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.061,32.942764,-106.91479,1406.8,4.27,361.23468,362.27539,245.01559,4.5178237,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.1071,32.942764,-106.91479,1406.8,0.09,371.83301,373.13965,244.86613,0.26485109,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.152,32.942764,-106.91479,1406.8,-3.4400001,385.32874,384.43842,245.10829,-3.2936988,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.198,32.942764,-106.91479,1406.8,-2.49,399.09763,396.52008,245.64514,-2.5217373,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.244,32.942764,-106.91479,1406.8,-3.6700001,407.51987,407.74597,245.46674,-3.6246562,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.29,32.942764,-106.91479,1406.8,-4.25,417.73865,418.72372,245.03581,-4.2253056,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.335,32.942764,-106.91479,1406.8,-4.3099999,432.65909,430.44232,245.43465,-4.3066554,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.381,32.942764,-106.91479,1406.8,-4.48,446.23462,442.80545,246.14925,-4.4731545,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.427,32.942764,-106.91479,1406.8,-5.4899998,457.77408,454.99673,246.68204,-5.4498453,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.472,32.942764,-106.91479,1406.8,-6.0300002,468.4689,466.65985,246.91591,-6.0070906,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.5179,32.942764,-106.91479,1406.8,-6.2600002,479.26172,478.31049,246.89214,-6.2500129,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.563,32.942764,-106.91479,1406.8,-7.1599998,493.06754,490.28683,247.3461,-7.1240654,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.609,32.942764,-106.91479,1406.8,-7.5999999,506.72079,502.86737,248.04132,-7.5812054,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.655,32.942764,-106.91479,1406.8,-7.54,522.11444,516.14508,249.28159,-7.5416269,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.701,32.942764,-106.91479,1406.8,-7.9499998,535.63043,529.52386,250.56146,-7.9338732,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.746,32.942764,-106.91479,1406.8,-7.98,546.57611,542.17334,251.37262,-7.9781785,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.792,32.942764,-106.91479,1406.8,-9.7299995,558.4881,554.86591,251.96567,-9.6608219,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.838,32.942764,-106.91479,1406.8,-9.7299995,569.71893,567.22882,252.18431,-9.7272673,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.8831,32.942764,-106.91479,1406.8,-10.05,581.99817,579.3869,252.43849,-10.037255,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.929,32.942764,-106.91479,1406.8,-9.8199997,593.2547,591.53015,252.43555,-9.8285789,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2031.975,32.942764,-106.91479,1406.8,-9.8999996,605.82391,603.77557,252.52861,-9.8971796,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.02,32.942764,-106.91479,1406.8,-9.71,621.01422,616.53522,253.27106,-9.717392,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.066,32.942764,-106.91479,1406.8,-9.6899996,631.44348,628.95654,253.48499,-9.691081,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.1121,32.942764,-106.91479,1406.8,-9.6099997,641.88391,640.91205,253.29803,-9.6132011,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.157,32.942764,-106.91479,1406.8,-9.4399996,656.25488,653.24536,253.66356,-9.4468393,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.203,32.942764,-106.91479,1406.8,-9.3999996,668.63434,665.79553,253.98343,-9.4018488,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.249,32.942764,-106.91479,1407.1,-9.4399996,683.91528,679.01025,254.85643,-9.4384928,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.2939,32.942764,-106.91479,1407.1,-9.2299995,696.1571,691.828,255.57964,-9.2382326,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.34,32.942764,-106.91479,1407.1,-9.1300001,708.07483,704.65045,256.06479,-9.1342745,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.386,32.942764,-106.91479,1407.1,-8.8299999,718.76117,716.97968,256.11932,-8.8420153,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.432,32.942764,-106.91479,1407.1,-9,730.52008,729.1748,256.07077,-8.9937611,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.4771,32.942764,-106.91479,1407.1,-9.1300001,745.53912,741.84778,256.64502,-9.1246204,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.5229,32.942764,-106.91479,1407.1,-8.9399996,762.42432,755.7428,258.00174,-8.9472895,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.569,32.942764,-106.91479,1407.1,-8.8100004,776.79358,769.79968,259.45233,-8.8154221,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.614,32.942764,-106.91479,1407.1,-8.7700005,790.02844,783.51166,260.78323,-8.7717943,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.66,32.942764,-106.91479,1407.1,-8.4099998,801.2392,796.87061,261.54111,-8.4242868,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.7061,32.942764,-106.91479,1407.1,-8.6000004,812.1239,809.66522,261.80759,-8.5930614,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.751,32.942764,-106.91479,1407.1,-8.4799995,823.80005,822.00214,261.89758,-8.4844646,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.797,32.942764,-106.91479,1407.1,-8.4399996,832.74628,833.73114,261.24576,-8.4417553,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.843,32.942764,-106.91479,1407.1,-8.6000004,845.16418,845.60199,260.74066,-8.5937519,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.889,32.942764,-106.91479,1407.1,-8.1800003,859.73547,858.10089,260.78156,-8.1963387,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.934,32.942764,-106.91479,1407.1,-8.1999998,872.18628,870.3913,260.88876,-8.1998549,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2032.98,32.942764,-106.91479,1407.1,-8.1999998,883.3988,882.62622,260.71689,-8.1999941,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.026,32.942764,-106.91479,1407.1,-7.9499998,895.43256,894.80713,260.50662,-7.9598718,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.071,32.942764,-106.91479,1407.1,-7.9099998,906.50214,906.51715,260.14456,-7.9119692,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.1169,32.942764,-106.91479,1407.1,-7.9299998,919.90283,918.81665,260.06912,-7.9292879,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.163,32.942764,-106.91479,1407.1,-7.8099999,933.48962,931.42145,260.25488,-7.8147106,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.208,32.942764,-106.91479,1407.1,-7.9499998,943.34137,943.1767,259.94662,-7.9446573,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.254,0,0,0,-7.6599998,958.13531,955.84509,260.19,-7.6712408,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.3,0,0,0,-7.6599998,970.25598,968.3916,260.33319,-7.6604438,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.345,0,0,0,-7.8299999,981.04095,980.32385,260.17816,-7.8233042,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.391,0,0,0,-7.54,992.56873,992.35187,259.8764,-7.5511875,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.437,0,0,0,-7.8499999,1001.2941,1003.5799,258.92035,-7.8382001,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.4821,0,0,0,-7.5999999,1012.4776,1014.5675,258.01425,-7.6094065,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.528,0,0,0,-7.4099998,1027.0051,1026.566,257.78122,-7.4178743,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.574,0,0,0,-7.4699998,1038.5851,1038.4565,257.47412,-7.4679413,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.619,0,0,0,-7.52,1050.5168,1050.1503,257.23511,-7.5179443,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
